"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3897","invalid login","chromium","Fri Jan 31 11:27:33 WET 2025","passed","Fri Jan 31 11:27:37 WET 2025","Unauthenticated tests","test.spec.js","",""
"","2454","Create a new business","chromium","Fri Jan 31 11:27:37 WET 2025","passed","Fri Jan 31 11:27:40 WET 2025","login","test.spec.js","",""
